month,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire
3,86.2,26.2,94.3,2.258317958,8.2,51,6.7,,0
10,90.6,35.4,669.1,2.588435821,18,33,0.9,,0
10,90.6,43.7,686.9,2.588435821,14.6,33,1.3,,0
3,91.7,33.3,77.5,3,8.3,97,4,-1.609437912,0
3,89.3,51.3,102.2,3.098386677,11.4,99,1.8,,0
8,92.3,85.3,488,3.834057903,22.2,29,5.4,,0
8,92.3,88.9,495.6,2.915475947,24.1,27,3.1,,0
8,91.5,145.4,608.2,3.271085447,8,86,2.2,,0
9,91,129.5,692.6,2.645751311,13.1,63,5.4,,0
9,92.5,88,698.6,2.664582519,22.8,40,4,,0
9,92.5,88,698.6,2.664582519,17.8,51,7.2,,0
9,92.8,73.2,713,4.75394573,19.3,38,4,,0
8,63.5,70.8,665.3,0.894427191,17,72,6.7,,0
9,90.9,126.5,686.5,2.645751311,21.3,42,2.2,,0
9,92.9,133.3,699.6,3.033150178,26.4,21,4.5,,0
9,93.3,141.2,713.9,3.728270376,22.9,44,5.4,,0
3,91.7,35.8,80.8,2.792848009,15.1,27,5.4,,0
10,84.9,32.8,664.2,1.732050808,16.7,47,4.9,,0
3,89.2,27.9,70.8,2.50998008,15.9,35,4,,0
4,86.3,27.4,97.1,2.258317958,9.3,44,4.5,,0
9,91,129.5,692.6,2.645751311,18.3,40,2.7,,0
9,91.8,78.5,724.3,3.033150178,19.1,38,2.7,,0
6,94.3,96.3,200,7.489993324,21,44,4.5,,0
8,90.2,110.9,537.4,2.48997992,19.5,43,5.8,,0
8,93.5,139.4,594.2,4.50555213,23.7,32,5.8,,0
8,91.4,142.4,601.4,3.255764119,16.3,60,5.4,,0
9,92.4,117.9,668,3.492849839,19,34,5.8,,0
9,90.9,126.5,686.5,2.645751311,19.4,48,1.3,,0
9,93.4,145.4,721.4,2.846049894,30.2,24,2.7,,0
9,93.5,149.3,728.6,2.846049894,22.8,39,3.6,,0
9,94.3,85.1,692.3,3.987480407,25.4,24,3.6,,0
9,88.6,91.8,709.9,2.664582519,11.2,78,7.6,,0
9,88.6,69.7,706.8,2.408318916,20.6,37,1.8,,0
9,91.7,75.6,718.3,2.792848009,17.7,39,3.6,,0
9,91.8,78.5,724.3,3.033150178,21.2,32,2.7,,0
9,90.3,80.7,730.2,2.50998008,18.2,62,4.5,,0
10,90.6,35.4,669.1,2.588435821,21.7,24,4.5,,0
10,90,41.5,682.6,2.949576241,11.3,60,5.4,,0
10,90.6,43.7,686.9,2.588435821,17.8,27,4,,0
3,88.1,25.7,67.6,1.949358869,14.1,43,2.7,,0
7,79.5,60.6,366.7,1.224744871,23.3,37,3.1,,0
8,90.2,96.9,624.2,2.983286778,18.4,42,6.7,,0
8,94.8,108.3,647.1,4.123105626,16.6,54,5.4,,0
9,92.5,88,698.6,2.664582519,19.6,48,2.7,,0
9,90.1,82.9,735.7,2.48997992,12.9,74,4.9,,0
9,94.3,85.1,692.3,3.987480407,25.9,24,4,,0
9,90.9,126.5,686.5,2.645751311,14.7,70,3.6,,0
7,94.2,62.3,442.9,3.31662479,23,36,3.1,,0
3,87.2,23.9,64.7,2.024845673,11.8,35,1.8,,0
3,87.6,52.2,103.8,2.236067977,11,46,5.8,,0
9,92.9,137,706.4,3.033150178,20.8,17,1.3,,0
8,90.2,99.6,631.2,2.50998008,21.5,34,2.2,,0
8,92.1,111.2,654.1,3.098386677,20.4,42,4.9,,0
8,92.1,111.2,654.1,3.098386677,20.4,42,4.9,,0
8,91.7,114.3,661.3,2.50998008,17.6,45,3.6,,0
9,92.9,137,706.4,3.033150178,27.7,24,2.2,,0
9,90.3,80.7,730.2,2.50998008,17.8,63,4.9,,0
10,92.6,46.5,691.8,2.966479395,13.8,50,2.7,,0
2,84,9.3,34,1.449137675,13.9,40,5.4,,0
2,86.6,13.2,43,2.302172887,12.3,51,0.9,,0
3,89.3,51.3,102.2,3.098386677,11.5,39,5.8,,0
3,89.3,51.3,102.2,3.098386677,5.5,59,6.3,,0
8,93,75.3,466.6,2.774887385,18.8,35,4.9,,0
8,90.2,99.6,631.2,2.50998008,20.8,33,2.7,,0
8,91.1,103.2,638.8,2.408318916,23.1,31,3.1,,0
8,91.7,114.3,661.3,2.50998008,18.6,44,4.5,,0
9,92.4,117.9,668,3.492849839,23,37,4.5,,0
9,92.4,117.9,668,3.492849839,19.6,33,5.4,,0
9,92.4,117.9,668,3.492849839,19.6,33,6.3,,0
3,91.7,33.3,77.5,3,17.2,26,4.5,,0
3,91.2,48.3,97.8,3.535533906,15.8,27,7.6,,0
9,94.3,85.1,692.3,3.987480407,17.7,37,3.6,,0
3,91.7,33.3,77.5,3,15.6,25,6.3,,0
8,88.8,147.3,614.5,3,17.3,43,4.5,,0
9,93.3,141.2,713.9,3.728270376,27.6,30,1.3,,0
2,84.2,6.8,26.6,2.774887385,6.7,79,3.1,,0
2,86.6,13.2,43,2.302172887,15.7,43,3.1,,0
3,87.6,52.2,103.8,2.236067977,8.3,72,3.1,,0
8,90.1,108,529.8,3.535533906,14.7,66,2.7,,0
8,91,121.2,561.6,2.645751311,21.6,19,6.7,,0
8,91.4,142.4,601.4,3.255764119,19.5,39,6.3,,0
8,90.2,99.6,631.2,2.50998008,17.9,44,2.2,,0
8,94.8,108.3,647.1,4.123105626,18.6,51,4.5,,0
8,92.1,111.2,654.1,3.098386677,16.6,47,0.9,,0
8,91.7,114.3,661.3,2.50998008,20.2,45,3.6,,0
9,92.9,137,706.4,3.033150178,21.5,15,0.9,,0
9,92.9,137,706.4,3.033150178,25.4,27,2.2,,0
9,92.9,137,706.4,3.033150178,22.4,34,2.2,,0
9,93.5,149.3,728.6,2.846049894,25.3,36,3.6,,0
3,91.7,35.8,80.8,2.792848009,17.4,25,4.9,,0
8,90.2,96.9,624.2,2.983286778,14.7,59,5.8,,0
3,91.7,35.8,80.8,2.792848009,17.4,24,5.4,,0
8,92.3,85.3,488,3.834057903,20.8,32,6.3,,0
8,91.4,142.4,601.4,3.255764119,18.2,43,4.9,,0
8,91.1,103.2,638.8,2.408318916,23.4,22,2.7,,0
9,89.7,90,704.4,2.19089023,17.8,64,1.3,,0
2,83.9,8,30.2,1.61245155,12.7,48,1.8,,0
3,69,2.4,15.5,0.836660027,17.4,24,5.4,,0
8,91.4,142.4,601.4,3.255764119,11.6,87,4.5,,0
8,91.4,142.4,601.4,3.255764119,19.8,39,5.4,,0
8,91.4,142.4,601.4,3.255764119,19.8,39,5.4,,0
8,88.8,147.3,614.5,3,14.4,66,5.4,,0
8,94.8,108.3,647.1,4.123105626,20.1,40,4,,0
9,92.5,121.1,674.4,2.93257566,24.1,29,4.5,,0
1,82.1,3.7,9.3,1.702938637,5.3,78,3.1,,0
3,85.9,19.5,57.3,1.673320053,12.7,52,6.3,,0
3,91.4,30.7,74.3,2.738612788,18.2,29,3.1,,0
8,90.2,99.6,631.2,2.50998008,21.4,33,3.1,,0
9,92.5,88,698.6,2.664582519,20.3,45,3.1,,0
9,88.6,91.8,709.9,2.664582519,17.4,56,5.4,,0
3,85.9,19.5,57.3,1.673320053,13.7,43,5.8,,0
3,91.7,33.3,77.5,3,18.8,18,4.5,,0
9,89.7,90,704.4,2.19089023,22.8,39,3.6,,0
9,91.8,78.5,724.3,3.033150178,18.9,35,2.7,,0
3,88.1,25.7,67.6,1.949358869,15.8,27,7.6,,0
3,88.1,25.7,67.6,1.949358869,15.5,27,6.3,,0
3,91.7,35.8,80.8,2.792848009,11.6,30,6.3,,0
3,91.7,35.8,80.8,2.792848009,15.2,27,4.9,,0
3,90.1,39.7,86.6,2.48997992,10.6,30,4,,0
8,93,75.3,466.6,2.774887385,19.6,36,3.1,,0
8,91.5,145.4,608.2,3.271085447,10.3,74,2.2,,0
8,91.5,145.4,608.2,3.271085447,17.1,43,5.4,,0
9,92.4,124.1,680.7,2.915475947,22.5,42,5.4,,0
9,84.4,73.4,671.9,1.788854382,17.9,45,3.1,,0
9,94.3,85.1,692.3,3.987480407,19.8,50,5.4,,0
10,92.6,46.5,691.8,2.966479395,20.6,24,5.4,,0
3,87.6,52.2,103.8,2.236067977,9,49,2.2,,0
9,93.5,149.3,728.6,2.846049894,17.2,43,3.1,,0
10,91.4,37.9,673.8,2.28035085,15.9,46,3.6,,0
10,92.6,46.5,691.8,2.966479395,15.4,35,0.9,,0
2,68.2,21.5,87.2,0.894427191,15.4,40,2.7,,0
3,87.2,23.9,64.7,2.024845673,14,39,3.1,,0
3,89.3,51.3,102.2,3.098386677,10.6,46,4.9,,0
9,93.7,80.9,685.2,4.23083916,17.6,42,3.1,,0
3,88.1,25.7,67.6,1.949358869,14.9,38,2.7,,0
8,93.5,139.4,594.2,4.50555213,17.6,52,5.8,,0
9,92.4,124.1,680.7,2.915475947,17.2,58,1.3,,0
9,90.9,126.5,686.5,2.645751311,15.6,66,3.1,,0
7,85.8,48.3,313.4,1.974841766,18,42,2.7,,0
9,91,129.5,692.6,2.645751311,21.7,38,2.2,,0
9,90.9,126.5,686.5,2.645751311,21.9,39,1.8,,0
8,95.5,99.9,513.3,3.633180425,23.3,31,4.5,,0
8,90.1,108,529.8,3.535533906,21.2,51,8.9,,0
7,90,51.3,296.3,2.949576241,16.6,53,5.4,,0
